_id,device_name,holding_open_id,location_id,os,url
311,iPad Pro 9.7_A,,0,iOS 9.3.2,
312,Mac Book Pro 2_A,,0,Mac OS 10.12.1,
313,Mac Book Pro 2_B,,0,Mac OS 10.12.1,
314,Mac Book Pro 2_C,,0,Mac OS 10.12.1,
315,iPhone 7,,0,iOS 11.4,
316,Galaxy S8+_A,,0,Android 8.x,
317,CS-Mac Pro-06,,5,OS 10.12.5,
318,CS-Mac Pro-07,,5,OS 10.12.5,
319,CS-Mac Pro-08,,5,OS 10.12.5,
320,CS-Mac Pro-09,,4,OS 10.12.5,
321,Mob-Mac Pro-10,,0,OS 10.12.5,
322,Mob-Mac Pro-11,,0,OS 10.12.5,
323,Mob-Mac Pro-12,,0,OS 10.12.5,
324,Mob-Mac Pro-13,,0,OS 10.12.5,
325,CS-Oppo R9s-01,,1,aOS 6.0.1,
326,CS-Vivo X9- 01,,4,aOS 7.1.1,
327,CS-Galaxy S8-01,,1,aOS 7.0,
328,CS-Galaxy S8 Plus-02,,4,aOS 7.0,
329,CS-Galaxy C9-01,,2,aOS 7.1.1,
331,CS-RedMi Note-01,,0,aOS 6.0,
332,CS-HUAWEI Mate9-01,,3,aOS 7.0,
333,CS-HUAWEI P10-01,,0,aOS 7.0,
334,CS-iPhone 7-A,,2,iOS 12,
335,CS-iPhone 7 Plus-A,,1,iOS 12.0,
336,CS-iPhone 7 Plus-B,,0,iOS 12.0 GM,
339,CS-XiaoMi Mix-A,,3,aOS 6.0.1,
349,CS-Mac Pro-14,,5,OS 10.12.5,
350,CS-Mac Pro-15,,5,OS 10.12.5,
351,CS-Mac Pro-16,,4,OS 10.12.5,
352,CS-Mac Pro-17,,5,OS 10.12.5,
353,CS-Mac Pro-18,,3,OS 10.12.5,
354,HUAWEI P10,,6,aOS 7.0,
355,Samsung Galaxy S7,,6,aOS 6.0,
356,HUAWEI Mate 9,,6,aOS 7.0,
361,iPhone7,,6,iOS11.0,
366,iPhone7_#10,,6,iOS10.3.3,
367,iPhone SE,,6,iOS 10.2.1,
368,iPhone 6s,,6,iOS 10.3.2,
369,iPhone 7 PLUS,,6,iOS 10.3.2,
370,Pixel 5.0,,6,aOS 7.0,
371,Mi 6,,6,aOS 7.1.1,
372,CS-Mac Pro-19,,5,OS 10.12.5,
373,CS-Mac Pro-28,,4,OS 10.12.5,
374,CS-Mac Pro-27,,4,OS 10.12.5,
375,CS-Mac Pro-26,,4,OS 10.12.5,
376,CS-Mac Pro-25,,4,OS 10.12.5,
377,CS-Mac Pro-24,,2,OS 10.12.5,
378,CS-Mac Pro-23,,2,OS 10.12.5,
379,CS-Mac Pro-22,,2,OS 10.12.5,
380,CS-Mac Pro-21,,2,OS 10.12.5,
382,CS-Mac Pro-20,,3,OS 10.12.5,
383,UAT_GZ_Galaxy S8,,9,aOS 7.0,
384,UAT_GZ_OPPO R9SK,,9,aOS 6.0.1,
391,UAT_GZ_iPhone SE,,9,iOS 11.4.1,
392,UAT_GZ_iPhone 7,,9,iOS 11.4.1,
393,UAT_GZ_iPhone 6S+,,9,iOS 10.3.3,
394,UAT_GZ_iPhone 6,,9,iOS 9.0.1,
395,CS-iPhone X-A,,3,iOS 12.0,
396,CS-iPhone 8 plus-A,,4,iOS 12,
397,CS-iPhone 8-A,,0,OS 11.0.2,
398,CS-iPhone 8-B,,2,iOS 11.0.3,
399,CS-iPhone 8 plus-B,,0,iOS 11.0.3,
401,CS-iPhone X-B,,0,iOS 11.2.6,
402,CS-Mac Pro-29,,1,OS 10.13.1,
403,CS-Mac Pro-30,,3,OS 10.12.5,
405,iWatch_42_mm,,1,,
406,CS-Mac Pro-31,,5,OS 10.13.2,
407,CS-Mac Pro-32,,5,OS 10.13.2,
408,CS-Mac Pro-33,,5,OS 10.13.2,
409,CS-Mac Pro-34,,5,OS 10.13.2,
410,Macbook Pro 2_D,,0,Mac 11,
411,GZ_Macbook Pro_E,,1,macOS 10.13.3,
412,GZ_Macbook Pro_F,,0,macOS 10.13.3,
413,CS_iPhone 6 Plus_E,,4,IOS12,
414,Digital_IphoneX_A,,9,iOS 11.2,
415,Digital_iPhone7_A,,9,iOS 11.3,
417,Digital_iPhone 8+ A,,9,iOS 11.3,
418,Digital_MacBook Pro1,,9,OS 10.13.3,
419,Digital_GalaxyNote8,,9,aOS7.1.1,
420,Digital_GalaxyS9,,9,aOS8.0.0,
421,Digital_Pixel2XL,,9,aOS8.0,
422,Digital_G6Plus,,9,aOS 7.0,
423,CS-GalaxyS2 Tab-B,,4,Android 5.0.2,
424,UAT_GZ_iPhone 8+,,9,iOS 11.4.1,
425,UAT_GZ_iPhone X,,9,iOS 12.0.1,
426,UAT_GZ_Galaxy S9,,9,aOS 8.0.0,
427,UAT_GZ_Galaxy S9+_1,,9,aOS 8.0.0,
428,UAT_GZ_Pixel 2 XL,,9,aOS 9.0.0,
429,UAT_GZ_Surface Pro,,9,Window 10,
430,UAT_iPhoneX_@1,,6,IOS 11.2.6,
431,UAT_iPhoneX_@2,,6,IOS11.4,
432,UAT_iPhoneX_@3,,6,IOS11.2.1,
433,UAT_iPhone 8 Plus_@1,,6,IOS11.3,
434,UAT_iPhone 8_@1,,6,IOS11.3.1,
435,UAT_iPhone 8_@2,,6,IOS11.3.1,
436,SAMSUNG Note 8,,6,Android 8.0.0,
437,UAT_Galaxy S9_@1,,6,Android 8.0.0,
441,UAT_Galaxy S8+_@1,,6,Android 7.0,
442,UAT_Galaxy S9_@2,,6,Android 8.0.0,
443,UAT_Galaxy S9+_@1,,6,Android 8.0.0,
444,UAT_Galaxy S9+_@2,,6,Android 8.0.0,
445,UAT_Pixel 2_@1,,6,Android 8.0.0,
446,UAT_iPad mini 4_@1,,6,IOS 11,
447,UAT_Surface Pro_@1,,6,Window 10,
448,UAT_Surface Pro_@2,,6,Window 10,
449,UAT_iPad Pro_@1,,6,IOS 11,
450,UAT_Mac Pro_@2,,6,OS 10.13.4,
451,UAT_Mac Pro_@1,,6,OS 10.13.4,
452,UAT_Mac Pro_@3,,6,OS 10.13.4,
453,UAT_GZ_Mac Pro,,9,iOS,
454,UAT_HUAWEI P20 Pro,,6,Android 8.1.0,
455,UAT_MIX 2S,,6,Android 8.0.0,
457,XiaoMi A1,,0,7,
458,ITT Nexus 10A,,4,aOS 4.3,
459,CS-Galaxy Note5-A,,4,aOS 5.0,
460,HK_GL_iPhone 8 Plus,,7,iOS 11.0,
461,HK_MBXAMH_iPhone 8,,7,iOS 11.0,
462,HK_MBX_iPhone 7 Plus,,7,iOS 10.1,
464,HK_MBXAMH_iPhoneX_S,,7,iOS 11.1,
465,HK_MBXAMH_iPhone X_B,,7,iOS 11.4.1,
466,HK_MBXAMH_iPhone 5s,,7,iOS 10.3,
467,HK_MBXAMH_Samsung S9,,7,aOS 8.0,
468,HK_MBXAMH_Note 8,,7,aOS 8.0,
469,HK_MBXAMH_Huawei P10,,7,aOS 7.0,
470,HK_MBXAMH_LG G6,,7,aOS 7.0,
471,HK_MBXAMH_MI6,,7,aOS 8.0,
472,HK_MXGL_iPhone 8,,7,ios 11.0,
473,HK_MBX_iPhone XS Max,,7,iOS 12.0,
474,CS-iPhone XS-A,,3,OS 12.0,
475,CS-iPhone XS Max-A,,2,OS 12.0,
477,#3 iPhone 5,,8,ios12,
478,HK_MBX_iPhone XR_1,,7,iOS 12.0,
479,HK_MBX_iPhone XR_2,,7,iOS12.1,
480,HSBC-Mac Pro 34,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,2,,
488,UAT_GZ_Galaxy S9+_3,,9,aOS 8.0.0,
489,UAT_GZ_iPhone XR,,9,iOS 12.0.1,
491,iphone XR,,6,IOS 12.0.1,
496,iphone XS Max,,6,ios 12.0,
497,UAT_GZ_iPhone XS,,9,iOS 12.0,
498,UAT_GZ_iPhone XS Max,,9,iOS 12.0,
500,iphone XS_UAT,,6,ios 12.0,
501,UAT_SAMSUNG S9,,6,Android 8.0,
502,UAT_GZ_iPad Pro,,9,iOS 11.3,
503,HK_MBX_Pixel 3 XL,,7,aOS 9.0,
508,UAT_GZ_Pixel 3 XL_1,,9,aOS 9,
509,Digital_iPhoneXS,,9,iOS12,
510,Digital_IphoneXSMAX,,9,iOS12,
511,HK_MBX_LG Q6plus,,7,aOS 8.1,
512,CS-iPhone 6 - A,,5,iOS 9.3,
513,UAT_GZ_LG V40,,9,AOS 8.1.0,
514,UAT_XA_LG V40,,6,AOS 8.1.0,
515,CS-iPad Air2-D,,5,iOS 8.4,
517,CS-iPhone 6 Plus -G,,5,iOS 9.1,
4,iPhone8,GZAdmin,0,iOS 12.1,
108,Galaxy Tab3_GT-P5210,GZAdmin,0,Android 4.2.2,
999,,,,,
